     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     49186,       604,         0,    46.8,exact_mw,dcda703fb642cebee2dfd5e38297fcaf2d247057cbe8712be983814da3cc2e98,"{""distance"":5,""physical_error_rate"":0.01}","{""detection_events"":420941,""detectors_checked"":9345340,""obs_mistake_mask=E"":604}"
   6711842,       586,         0,   220.2,exact_mw,72dd81d728e8b59cf0360727e7da1c538d8cb4de92d1cfd927f474b74f6ed8df,"{""distance"":5,""physical_error_rate"":0.002}","{""detection_events"":12151856,""detectors_checked"":1275249980,""obs_mistake_mask=E"":586}"
    333346,       536,         0,   113.2,exact_mw,214064c00777f69851531ceea14824afe6ddf1381d3fc3e2acd1c27ce2cbbdbc,"{""distance"":5,""physical_error_rate"":0.005}","{""detection_events"":1476644,""detectors_checked"":63335740,""obs_mistake_mask=E"":536}"
      1506,       752,         0,    4.59,exact_mw,da6f696197a63516a09cfe098d58ee4c77a0c0b9aef63938592b3d15be13ee47,"{""distance"":5,""physical_error_rate"":0.5}","{""detection_events"":142871,""detectors_checked"":286140,""obs_mistake_mask=E"":752}"
      1314,       702,         0,    4.31,exact_mw,f8f98d6da7568ffbcc6e354bfc4d193107a9ad39b4c0b41ef192e89a824511b4,"{""distance"":5,""physical_error_rate"":0.2}","{""detection_events"":99063,""detectors_checked"":249660,""obs_mistake_mask=E"":702}"
     10257,       504,         0,    19.7,exact_mw,3d223b32389f7a00f247312169631a0d33f51f87cff6ad70ed5d35f2a476a536,"{""distance"":5,""physical_error_rate"":0.02}","{""detection_events"":163735,""detectors_checked"":1948830,""obs_mistake_mask=E"":504}"
      1314,       632,         0,    5.51,exact_mw,7eac2fd38df7422822bf5752ed7165cb70b693a1d0b795832d30db344bb925b7,"{""distance"":5,""physical_error_rate"":0.1}","{""detection_events"":70300,""detectors_checked"":249660,""obs_mistake_mask=E"":632}"
  69047364,       586,         0,   665.0,exact_mw,b781b7262d6b0bb9f314a2d70ed63ac6d624b95df81e3a1d175f3270731478d4,"{""distance"":5,""physical_error_rate"":0.001}","{""detection_events"":62957867,""detectors_checked"":13118999160,""obs_mistake_mask=E"":586}"
1000000000,         0,         0,  2490.2,exact_mw,6b59061c296dd5fa989f194bc1331e20dcb795b26a04e45195dd47005466472c,"{""distance"":5,""physical_error_rate"":5e-05}","{""detection_events"":45911835,""detectors_checked"":190000000000}"
 760692904,       538,         0,  3274.1,exact_mw,78e3a5556bae7b03aa382e516c803c70a773f43874117199a23b6565ddb44ee7,"{""distance"":5,""physical_error_rate"":0.0005}","{""detection_events"":348176309,""detectors_checked"":144531651760,""obs_mistake_mask=E"":538}"
1000000000,        32,         0,  2774.6,exact_mw,ecaeeee827780ac37ad88e945c7f35c8de455808164ffd6fc887565ce79c71ef,"{""distance"":5,""physical_error_rate"":0.0002}","{""detection_events"":183505452,""detectors_checked"":190000000000,""obs_mistake_mask=E"":32}"
      2001,       523,         0,    7.78,exact_mw,5668245a8a675fd089b249d893c876b2fe7f72dd3982c9babaf9b5baddd2bad1,"{""distance"":5,""physical_error_rate"":0.05}","{""detection_events"":67351,""detectors_checked"":380190,""obs_mistake_mask=E"":523}"
1000000000,         1,         0,  2449.9,exact_mw,3e1036adbe634835a4cba05055de5f3efa73f27f2c83da7191a1d35ab46aa02a,"{""distance"":5,""physical_error_rate"":0.0001}","{""detection_events"":91848913,""detectors_checked"":190000000000,""obs_mistake_mask=E"":1}"
