     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
  29764619,    570729,         0, 92695.0,standalone_exact_mw,0849a92523e70d81dc685e89bc90c4975fd59df6d9c2c3a2eedc3acd5009a0a5,"{""distance"":5,""physical_error_rate"":0.02}","{""detection_events"":496103979,""detectors_checked"":6667274656,""obs_mistake_mask=E"":570729}"
   3358673,    574367,         0, 28878.0,standalone_exact_mw,f6af09d03d5519b2e52bec3038a0d90b4d991f06e6e8dae9a6ec7f4c4aa4d307,"{""distance"":5,""physical_error_rate"":0.05}","{""detection_events"":120385861,""detectors_checked"":752342752,""obs_mistake_mask=E"":574367}"
   1315993,    573705,         0, 15517.9,standalone_exact_mw,e29a9e5b6b9ad96145ccd8cf7659d5ac049572900de4e3472c8e8cce966dbb5d,"{""distance"":5,""physical_error_rate"":0.1}","{""detection_events"":75799320,""detectors_checked"":294782432,""obs_mistake_mask=E"":573705}"
500000000000,      1740,         0,13663831.5,standalone_exact_mw,20798f97df0190c1cdb3c8525955fcab336188ac5b2148d32da52441b43ca3a5,"{""distance"":5,""physical_error_rate"":0.0001}","{""detection_events"":46486529643,""detectors_checked"":112000000000000,""obs_mistake_mask=E"":1740}"
21913637516,    587165,         0,1851675.5,standalone_exact_mw,b58aca428d63be6a3c4aeedfc1b9cfe5db0f91ec310fe0b55959294fafda07d8,"{""distance"":5,""physical_error_rate"":0.002}","{""detection_events"":40309291848,""detectors_checked"":4908654803584,""obs_mistake_mask=E"":587165}"
500000000000,    202836,         0,19618997.3,standalone_exact_mw,3b0bc35da96a78cedf6094f0349a562d019cbae177c4158d3a977f8f2d47ae72,"{""distance"":5,""physical_error_rate"":0.0005}","{""detection_events"":231904150981,""detectors_checked"":112000000000000,""obs_mistake_mask=E"":202836}"
1539322316,    578690,         0,378155.6,standalone_exact_mw,99bc2fad3b39fb785a1369bba56ff27f4998f5b0b4290675d1bd8bd7a1095552,"{""distance"":5,""physical_error_rate"":0.005}","{""detection_events"":6959835371,""detectors_checked"":344808198784,""obs_mistake_mask=E"":578690}"
161864761273,    523110,         0,8744198.2,standalone_exact_mw,d0656da3bfe7433aead5f2400144f1c3d8730e45975d987942dc34f0c7bd2057,"{""distance"":5,""physical_error_rate"":0.001}","{""detection_events"":149719547565,""detectors_checked"":36257706525152,""obs_mistake_mask=E"":523110}"
500000000000,     12710,         0,15351176.0,standalone_exact_mw,e63d352d5698e5f74bb24555015ccca11cb8f95a1c6eeadc82ed88f2b497393b,"{""distance"":5,""physical_error_rate"":0.0002}","{""detection_events"":92920092739,""detectors_checked"":112000000000000,""obs_mistake_mask=E"":12710}"
 202306959,    571584,         0,175224.4,standalone_exact_mw,07744af4c3d984b236d817369fa98126fa87b006abc9da76ff6ca4e958d33ba0,"{""distance"":5,""physical_error_rate"":0.01}","{""detection_events"":1779303139,""detectors_checked"":45316758816,""obs_mistake_mask=E"":571584}"
   1147071,    572628,         0, 17146.8,standalone_exact_mw,fa7135dbffa8d01113ef2c68c7898e78038e45f21222724439d99f5786228875,"{""distance"":5,""physical_error_rate"":0.5}","{""detection_events"":116999527,""detectors_checked"":256943904,""obs_mistake_mask=E"":572628}"
   1149264,    573724,         0, 15338.0,standalone_exact_mw,c492c61d780eba146d1529a850c89441eae98feb64ffbad9680d5a3252044079,"{""distance"":5,""physical_error_rate"":0.2}","{""detection_events"":93146563,""detectors_checked"":257435136,""obs_mistake_mask=E"":573724}"
500000000000,       210,         0,12759678.4,standalone_exact_mw,a6aff6a34e69ecaec488ba76a72f1e3ee873f293756dfea40f4fac1d203617d6,"{""distance"":5,""physical_error_rate"":5e-05}","{""detection_events"":23249818811,""detectors_checked"":112000000000000,""obs_mistake_mask=E"":210}"
