     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
   2379298,        29,         0,    7.63,partition,9b18f00010357aa768a380e31b89ef104142de4f8817a30772adddedbb1fa8fa,"{""distance"":3,""physical_error_rate"":0.0005}","{""detection_events"":306299,""detectors_checked"":199861032,""obs_mistake_mask=E"":29}"
   2630178,         0,         0,    7.63,partition,b85ca6c3d5c31fbd79fabfb3a90e02b0aa5cd30db8277b3b1d7933e7ccae2835,"{""distance"":3,""physical_error_rate"":5e-05}","{""detection_events"":33651,""detectors_checked"":220934952}"
   1380898,       317,         0,    5.80,partition,2940a5c5a993a7ae2a9090f6043d238e802dabb949e772e3aeb5809ae42ce942,"{""distance"":3,""physical_error_rate"":0.002}","{""detection_events"":706076,""detectors_checked"":115995432,""obs_mistake_mask=E"":317}"
   2611746,         2,         0,    7.62,partition,fa1ccb2759bee51c9efb9eb59d308550dca4e92687e97c862b6b2e81bf4b95bd,"{""distance"":3,""physical_error_rate"":0.0001}","{""detection_events"":67641,""detectors_checked"":219386664,""obs_mistake_mask=E"":2}"
   2533922,         6,         0,    7.64,partition,c6fc1703a39f25599c378e390d6dace041f7ee7eb50fd959692317d73c532fba,"{""distance"":3,""physical_error_rate"":0.0002}","{""detection_events"":130707,""detectors_checked"":212849448,""obs_mistake_mask=E"":6}"
    375057,       500,         0,    2.33,partition,e4603d2db83e9379e963ad553b20e821c6a1dd9f9f4ff75d528df90478c6f02d,"{""distance"":3,""physical_error_rate"":0.005}","{""detection_events"":475903,""detectors_checked"":31504788,""obs_mistake_mask=E"":500}"
      5393,       554,         0,   0.224,partition,5948e36c2da808bed39abb0437e1c38b303a10bccb605d8a5d6c051701c0529b,"{""distance"":3,""physical_error_rate"":0.05}","{""detection_events"":60033,""detectors_checked"":453012,""obs_mistake_mask=E"":554}"
   1832482,       116,         0,    6.55,partition,11b63d8e63251bd96903ef27a71618fb2b644dc59e0020dcaed40a598b1529e8,"{""distance"":3,""physical_error_rate"":0.001}","{""detection_events"":471377,""detectors_checked"":153928488,""obs_mistake_mask=E"":116}"
     94481,       505,         0,   0.905,partition,733163a00aea75c4317e321adda9375681af0704801f9dbfddc1e654a8210e1a,"{""distance"":3,""physical_error_rate"":0.01}","{""detection_events"":235729,""detectors_checked"":7936404,""obs_mistake_mask=E"":505}"
     26897,       508,         0,   0.471,partition,ebab4eebb0a8313f3018b0334724be40f1bd807cf5041620c06c778c7bf89836,"{""distance"":3,""physical_error_rate"":0.02}","{""detection_events"":129290,""detectors_checked"":2259348,""obs_mistake_mask=E"":508}"
      2321,       626,         0,   0.167,partition,8a9487437adc048e146163c1d72fa38d17fee1efdaa1bb0465c2f042d1c47e59,"{""distance"":3,""physical_error_rate"":0.1}","{""detection_events"":44606,""detectors_checked"":194964,""obs_mistake_mask=E"":626}"
      1297,       593,         0,   0.138,partition,46eb4a0da70243b9fd38fe6ba92c610ddacb754e2dace578d248fa16567cb336,"{""distance"":3,""physical_error_rate"":0.2}","{""detection_events"":39303,""detectors_checked"":108948,""obs_mistake_mask=E"":593}"
      1297,       635,         0,   0.039,partition,3ca9f9ffa10d74422f621904e6e91f884e820ea89620bd7bf43b907ab9653a1d,"{""distance"":3,""physical_error_rate"":0.5}","{""detection_events"":54244,""detectors_checked"":108948,""obs_mistake_mask=E"":635}"
