     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    335394,       529,         0,    5.01,exact_mw,852e58d64712636ccf3091a470fb307e6fe00462e81ba6fad2848c90869c2c79,"{""distance"":3,""physical_error_rate"":0.005}","{""detection_events"":494507,""detectors_checked"":28173096,""obs_mistake_mask=E"":529}"
      2082,      1034,         0,    2.55,exact_mw,396ac2f586d8ec35467321f38279089db4558e68d25e6a2579852eb8eeb0c1ed,"{""distance"":3,""physical_error_rate"":0.5}","{""detection_events"":87050,""detectors_checked"":174888,""obs_mistake_mask=E"":1034}"
  39596100,       589,         0,   109.4,exact_mw,eb17bbf07659d4ad77537f4b9c84178b11fc85a81fc4e61ffd7cd5c05d3a3d7a,"{""distance"":3,""physical_error_rate"":0.0005}","{""detection_events"":5974058,""detectors_checked"":3326072400,""obs_mistake_mask=E"":589}"
      2082,      1028,         0,    2.41,exact_mw,2dceaf43f49310568566b535ec75e50beec1c8e3a88752413e14968abeb3ff9a,"{""distance"":3,""physical_error_rate"":0.2}","{""detection_events"":65230,""detectors_checked"":174888,""obs_mistake_mask=E"":1028}"
     90658,       596,         0,    6.48,exact_mw,45fab288c4ce3ec48ed72db4341df5a6bc40f68df389cb3cc0460cf63acbeefa,"{""distance"":3,""physical_error_rate"":0.01}","{""detection_events"":262026,""detectors_checked"":7615272,""obs_mistake_mask=E"":596}"
   2439714,       610,         0,    8.72,exact_mw,f67459db4b8f9647a864b36bde8ed985ef85432cb05d3d0779a2d42f628a0e07,"{""distance"":3,""physical_error_rate"":0.002}","{""detection_events"":1466624,""detectors_checked"":204935976,""obs_mistake_mask=E"":610}"
      3857,       551,         0,    4.08,exact_mw,bc1fffd13079e7471af5c1b30f5f7374f64a6203ddb7d823a96942b447bdc6b1,"{""distance"":3,""physical_error_rate"":0.05}","{""detection_events"":47312,""detectors_checked"":323988,""obs_mistake_mask=E"":551}"
      2082,       783,         0,    3.06,exact_mw,f6bae6530f5f458e960d7d466e1e3cff56275b009eaa4c005af6c85d85011307,"{""distance"":3,""physical_error_rate"":0.1}","{""detection_events"":42927,""detectors_checked"":174888,""obs_mistake_mask=E"":783}"
 220132966,       560,         0,   586.1,exact_mw,3a15079f35593888ea87386833b6f25421bb4e8d0f5093429246a92dcac2a0c9,"{""distance"":3,""physical_error_rate"":0.0002}","{""detection_events"":13320600,""detectors_checked"":18491169144,""obs_mistake_mask=E"":560}"
1000000000,       162,         0,  2648.1,exact_mw,2bcc99b1c8a7f6219fadef1ce583e112b3058c333cf82b5dd5f0fa88a3208def,"{""distance"":3,""physical_error_rate"":5e-05}","{""detection_events"":15139845,""detectors_checked"":84000000000,""obs_mistake_mask=E"":162}"
   9749572,       586,         0,    31.4,exact_mw,693c696b36dc65ff41a5c3f475791abdf42c7dd12034a61493d5bf72cf223a7e,"{""distance"":3,""physical_error_rate"":0.001}","{""detection_events"":2938575,""detectors_checked"":818964048,""obs_mistake_mask=E"":586}"
 942180439,       566,         0,  2460.6,exact_mw,2b938175924313cdd40be0bd0624ae9aa882147517f0e22be99063d4fa48ca2a,"{""distance"":3,""physical_error_rate"":0.0001}","{""detection_events"":28520017,""detectors_checked"":79143156876,""obs_mistake_mask=E"":566}"
     22050,       564,         0,    6.77,exact_mw,c2ff438bc6373ebb20f55b7add26f5e716c976ea6360e8cab304f572bf5ed6e7,"{""distance"":3,""physical_error_rate"":0.02}","{""detection_events"":120802,""detectors_checked"":1852200,""obs_mistake_mask=E"":564}"
