     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         1,         0,         0,   0.030,exact_mw,8f6ffe83dc8a164c37569502f7a07300383b08996a65e6024f1fb55da9e86a70,"{""distance"":7,""physical_error_rate"":0.001}","{""detection_events"":2,""detectors_checked"":602}"
       272,         0,         0,   0.088,exact_mw,8f6ffe83dc8a164c37569502f7a07300383b08996a65e6024f1fb55da9e86a70,"{""distance"":7,""physical_error_rate"":0.001}","{""detection_events"":681,""detectors_checked"":163744}"
      1024,         0,         0,   0.251,exact_mw,8f6ffe83dc8a164c37569502f7a07300383b08996a65e6024f1fb55da9e86a70,"{""distance"":7,""physical_error_rate"":0.001}","{""detection_events"":2618,""detectors_checked"":616448}"
      1024,         0,         0,   0.243,exact_mw,8f6ffe83dc8a164c37569502f7a07300383b08996a65e6024f1fb55da9e86a70,"{""distance"":7,""physical_error_rate"":0.001}","{""detection_events"":2734,""detectors_checked"":616448}"
         1,         0,         0,   0.011,exact_mw,7ab8dac34c0f04081aa56d8ba19d6e60c4610843c8e898bca1b021d4fa0ada69,"{""distance"":7,""physical_error_rate"":0.0005}","{""detectors_checked"":602}"
      1024,         0,         0,   0.596,exact_mw,8f6ffe83dc8a164c37569502f7a07300383b08996a65e6024f1fb55da9e86a70,"{""distance"":7,""physical_error_rate"":0.001}","{""detection_events"":2835,""detectors_checked"":616448}"
       272,         0,         0,   0.035,exact_mw,7ab8dac34c0f04081aa56d8ba19d6e60c4610843c8e898bca1b021d4fa0ada69,"{""distance"":7,""physical_error_rate"":0.0005}","{""detection_events"":337,""detectors_checked"":163744}"
      1024,         0,         0,   0.060,exact_mw,7ab8dac34c0f04081aa56d8ba19d6e60c4610843c8e898bca1b021d4fa0ada69,"{""distance"":7,""physical_error_rate"":0.0005}","{""detection_events"":1215,""detectors_checked"":616448}"
      1024,         0,         0,   0.070,exact_mw,7ab8dac34c0f04081aa56d8ba19d6e60c4610843c8e898bca1b021d4fa0ada69,"{""distance"":7,""physical_error_rate"":0.0005}","{""detection_events"":1370,""detectors_checked"":616448}"
      1024,         0,         0,   0.064,exact_mw,7ab8dac34c0f04081aa56d8ba19d6e60c4610843c8e898bca1b021d4fa0ada69,"{""distance"":7,""physical_error_rate"":0.0005}","{""detection_events"":1357,""detectors_checked"":616448}"
         1,         0,         0,   0.032,exact_mw,85248845af9183810e60b20c69dd73b07ff88dbb037d2976a1ce780d72a3a852,"{""distance"":7,""physical_error_rate"":0.01}","{""detection_events"":43,""detectors_checked"":602}"
      1024,         0,         0,   0.093,exact_mw,7ab8dac34c0f04081aa56d8ba19d6e60c4610843c8e898bca1b021d4fa0ada69,"{""distance"":7,""physical_error_rate"":0.0005}","{""detection_events"":1431,""detectors_checked"":616448}"
      1024,         0,         0,   0.385,exact_mw,8f6ffe83dc8a164c37569502f7a07300383b08996a65e6024f1fb55da9e86a70,"{""distance"":7,""physical_error_rate"":0.001}","{""detection_events"":2770,""detectors_checked"":616448}"
         1,         0,         0,   0.011,exact_mw,8bab6414768fa644b9af9aa72ed70bda2133b985385520c8b69457d7f135d5ed,"{""distance"":7,""physical_error_rate"":0.0001}","{""detectors_checked"":602}"
      1024,         0,         0,   0.121,exact_mw,7ab8dac34c0f04081aa56d8ba19d6e60c4610843c8e898bca1b021d4fa0ada69,"{""distance"":7,""physical_error_rate"":0.0005}","{""detection_events"":1527,""detectors_checked"":616448}"
      2320,         0,         0,   0.024,exact_mw,8bab6414768fa644b9af9aa72ed70bda2133b985385520c8b69457d7f135d5ed,"{""distance"":7,""physical_error_rate"":0.0001}","{""detection_events"":617,""detectors_checked"":1396640}"
      2048,         0,         0,   0.026,exact_mw,8bab6414768fa644b9af9aa72ed70bda2133b985385520c8b69457d7f135d5ed,"{""distance"":7,""physical_error_rate"":0.0001}","{""detection_events"":517,""detectors_checked"":1232896}"
        16,         1,         0,   0.196,exact_mw,85248845af9183810e60b20c69dd73b07ff88dbb037d2976a1ce780d72a3a852,"{""distance"":7,""physical_error_rate"":0.01}","{""detection_events"":352,""detectors_checked"":9632,""obs_mistake_mask=E"":1}"
      1297,         0,         0,   0.032,exact_mw,728ec0397af830724da4b6c672c615309208bebcf0183bd73a9ca35d7b4ef7d8,"{""distance"":7,""physical_error_rate"":0.0002}","{""detection_events"":637,""detectors_checked"":780794}"
