     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
 955051899,    131411,         0,5542770.5,exact_mw,f9daf7670c28e8b8b7ac9af8e1984263f26063cb589f7a54f43332f7ce5001d2,"{""distance"":7,""physical_error_rate"":0.002}","{""detection_events"":5596520658,""detectors_checked"":574941243198,""obs_mistake_mask=E"":131411}"
127000000000,      1791,         0,2285826.9,exact_mw,590a535fae2c18c7445aa3259c8038467453e1d6a10b68541c755b2dcb29eb74,"{""distance"":7,""physical_error_rate"":5e-05}","{""detection_events"":18844946844,""detectors_checked"":76454000000000,""obs_mistake_mask=E"":1791}"
7584322125,    130955,         0,9237384.5,exact_mw,a17a1dfb4cb0509fbcf9caf9ce6f4704b111f022b15740e51c84c2b7e14a6407,"{""distance"":7,""physical_error_rate"":0.001}","{""detection_events"":22367667491,""detectors_checked"":4565761919250,""obs_mistake_mask=E"":130955}"
    484012,    149437,         0, 26453.6,exact_mw,6f5489aeee258679dc72a3e249dc8e02f40944f7ca4d24fa31eb242c8075b1b5,"{""distance"":7,""physical_error_rate"":0.05}","{""detection_events"":53718222,""detectors_checked"":291375224,""obs_mistake_mask=E"":149437}"
127000000000,      7136,         0,2574739.2,exact_mw,c5b9b378753080b028cc9d6f4434ddf95ab0a61b3333c7295fd718d5436747fc,"{""distance"":7,""physical_error_rate"":0.0001}","{""detection_events"":37677077588,""detectors_checked"":76454000000000,""obs_mistake_mask=E"":7136}"
126876392403,     31403,         0,4160216.2,exact_mw,fb98ac5f0d986856d2cb4e87c937a37162f60383230d2323a40d4b2e77ef556c,"{""distance"":7,""physical_error_rate"":0.0002}","{""detection_events"":75231555873,""detectors_checked"":76379588226606,""obs_mistake_mask=E"":31403}"
    294616,    147212,         0, 20125.1,exact_mw,eaf6c0e366ca4ef858d4f05f9aa5827b452e47c06da5214dd4b433059c5f6ad5,"{""distance"":7,""physical_error_rate"":0.2}","{""detection_events"":72353611,""detectors_checked"":177358832,""obs_mistake_mask=E"":147212}"
  17658134,    142377,         0,674211.8,exact_mw,73653d459d83448bea9c32985aa9fd156ebef5824b05d1ed55d386d98a968072,"{""distance"":7,""physical_error_rate"":0.01}","{""detection_events"":491553774,""detectors_checked"":10630196668,""obs_mistake_mask=E"":142377}"
   3363608,    148166,         0,169226.4,exact_mw,834abdd41b1b65931acfd3ee091dfffbb9772582814260e519c7dbaf7b14ebec,"{""distance"":7,""physical_error_rate"":0.02}","{""detection_events"":176190019,""detectors_checked"":2024892016,""obs_mistake_mask=E"":148166}"
  91391150,    133155,         0,2076160.2,exact_mw,a7c002779361d29bb296963a23dd35d34b706f38009a8e2e2f5aee9a5ee0acdb,"{""distance"":7,""physical_error_rate"":0.005}","{""detection_events"":1313140537,""detectors_checked"":55017472300,""obs_mistake_mask=E"":133155}"
54369937674,    131702,         0,11563195.8,exact_mw,8973b2281876bd917be29e6214e197de75d185bf3f5e531e264555f10574746e,"{""distance"":7,""physical_error_rate"":0.0005}","{""detection_events"":80437772009,""detectors_checked"":32730702479748,""obs_mistake_mask=E"":131702}"
    293429,    146767,         0, 18106.2,exact_mw,c641915013202091ff5a6523ca1acdb371a70207f808e5be7753cd68f2436e97,"{""distance"":7,""physical_error_rate"":0.5}","{""detection_events"":88335303,""detectors_checked"":176644258,""obs_mistake_mask=E"":146767}"
    295718,    146972,         0, 18523.9,exact_mw,0f36ab2f416ea2e248dded4e100ad4e56c6bc9d6a288fc2b58a364b6cb3b9030,"{""distance"":7,""physical_error_rate"":0.1}","{""detection_events"":52042572,""detectors_checked"":178022236,""obs_mistake_mask=E"":146972}"
