     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    167867,      5282,         0,    4.53,standalone_exact_mw,2183e0eeb1758506c1634b28abf19eaab00881e2d5d753bf49e739441bdbdaca,"{""distance"":7,""physical_error_rate"":0.001}","{""detection_events"":485104,""detectors_checked"":135972270,""obs_mistake_mask=E"":5282}"
     16349,      8229,         0,    7.59,standalone_exact_mw,34dc401e1330d39658c82b3b76f0425dba0408a5a7e8cfa132055f2a6f635298,"{""distance"":7,""physical_error_rate"":0.5}","{""detection_events"":6278425,""detectors_checked"":13242690,""obs_mistake_mask=E"":8229}"
     23210,      5602,         0,    1.53,standalone_exact_mw,04f5a9324675d79f87953f8d70626bb562c17401e8446d34d6c4bfcbb4ac3c73,"{""distance"":7,""physical_error_rate"":0.01}","{""detection_events"":643980,""detectors_checked"":18800100,""obs_mistake_mask=E"":5602}"
    347408,      5506,         0,    5.92,standalone_exact_mw,bc857d2060b3c5d39ad64fb978328ae609ca71fa751f80af05ad2bb8c24754ab,"{""distance"":7,""physical_error_rate"":0.0005}","{""detection_events"":505072,""detectors_checked"":281400480,""obs_mistake_mask=E"":5506}"
     14267,      6856,         0,    1.91,standalone_exact_mw,6cf5ecd9becd3bb7fd3b8491c8e8323f1df31509f408f9f595704d5004e1c49a,"{""distance"":7,""physical_error_rate"":0.05}","{""detection_events"":1666970,""detectors_checked"":11556270,""obs_mistake_mask=E"":6856}"
     86972,      5419,         0,    3.28,standalone_exact_mw,eae12c3c68e296b8eafa02786688eff0b58dbf122e7f3be1175f34c90c49cc86,"{""distance"":7,""physical_error_rate"":0.002}","{""detection_events"":500909,""detectors_checked"":70447320,""obs_mistake_mask=E"":5419}"
     22186,      8289,         0,    2.05,standalone_exact_mw,8e428fcb707b7b12da390f5bdf7a81145c2d7f0b94ab45798d74dffc2cf144c3,"{""distance"":7,""physical_error_rate"":0.02}","{""detection_events"":1176321,""detectors_checked"":17970660,""obs_mistake_mask=E"":8289}"
    897842,      5783,         0,    12.6,standalone_exact_mw,e353f0f7a7b4c9f393aad7065a0fe294f08a59a3b38cd30da815ddc9213cc65c,"{""distance"":7,""physical_error_rate"":0.0002}","{""detection_events"":523670,""detectors_checked"":727252020,""obs_mistake_mask=E"":5783}"
     47308,      6569,         0,    3.21,standalone_exact_mw,b7dd4dcfeedfccfd826ea22643307d7f1895c127ea7d996dcc69886cf8beab98,"{""distance"":7,""physical_error_rate"":0.005}","{""detection_events"":671319,""detectors_checked"":38319480,""obs_mistake_mask=E"":6569}"
     17138,      8653,         0,    6.04,standalone_exact_mw,1ed79dce8e3b8b08f3d6619035a8b100f7840108cd5343dc42d563d7d2995bd1,"{""distance"":7,""physical_error_rate"":0.2}","{""detection_events"":5015732,""detectors_checked"":13881780,""obs_mistake_mask=E"":8653}"
     18158,      9131,         0,    3.51,standalone_exact_mw,f0b71fe2c9f2c425829115ac547c1d751cd526b278764fe18b6aeff723ef43ee,"{""distance"":7,""physical_error_rate"":0.1}","{""detection_events"":3549382,""detectors_checked"":14707980,""obs_mistake_mask=E"":9131}"
