     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
  29637230,     66200,         0,  1284.9,partition,31530358f296fff0a350ac37d7f31b39adc7bfd22942fc6b290cc2d652d73def,"{""distance"":7,""physical_error_rate"":0.002}","{""detection_events"":185724201,""detectors_checked"":24006156300,""obs_mistake_mask=E"":66200}"
    214140,    106963,         0,   126.5,partition,26cdee33213d681c36fe48280810ae0a625e9a501c4e59ce44770553b0f1c336,"{""distance"":7,""physical_error_rate"":0.5}","{""detection_events"":82234331,""detectors_checked"":173453400,""obs_mistake_mask=E"":106963}"
    655293,     69616,         0,   120.2,partition,1109637559d166941a380eb840dbac8ae764aa7b9829d476450e24c357a981db,"{""distance"":7,""physical_error_rate"":0.05}","{""detection_events"":80574071,""detectors_checked"":530787330,""obs_mistake_mask=E"":69616}"
  62581859,     64651,         0,  1776.2,partition,91f908b201d466abb67094eb14ce491ef1722aedeb63ab5a8ac56ac6e1607db0,"{""distance"":7,""physical_error_rate"":0.001}","{""detection_events"":197236471,""detectors_checked"":50691305790,""obs_mistake_mask=E"":64651}"
    240353,     97079,         0,    72.7,partition,7f4e862b2a94332734605a70e9a0a31df8f6c3d27db4c7dbb003159f894a7a02,"{""distance"":7,""physical_error_rate"":0.1}","{""detection_events"":48706949,""detectors_checked"":194685930,""obs_mistake_mask=E"":97079}"
 136406294,     65579,         0,  2631.1,partition,d7a7e87571c9d89e50627893dd25d8d1a5d103b410e359e57dbb26ba19c1429d,"{""distance"":7,""physical_error_rate"":0.0005}","{""detection_events"":215592672,""detectors_checked"":110489098140,""obs_mistake_mask=E"":65579}"
  10892695,     66197,         0,   783.7,partition,2c8c5f2b49025c06e1ab3dfcaebe40a1dcf25a4d497c35c4ff0bd6d9f55c2a15,"{""distance"":7,""physical_error_rate"":0.005}","{""detection_events"":167652136,""detectors_checked"":8823082950,""obs_mistake_mask=E"":66197}"
   5280697,     65656,         0,   457.4,partition,17344da03f383893287ede68edec222a4e136fad79a2b0ba6c27ca7714b1d6d9,"{""distance"":7,""physical_error_rate"":0.01}","{""detection_events"":158017025,""detectors_checked"":4277364570,""obs_mistake_mask=E"":65656}"
    193324,     96601,         0,    89.2,partition,f26345a4c0ab7b95262932ec5c2f75bff1408b012cf211275dbd7e1d757e5c35,"{""distance"":7,""physical_error_rate"":0.2}","{""detection_events"":57817700,""detectors_checked"":156592440,""obs_mistake_mask=E"":96601}"
 352551410,     64030,         0,  5373.8,partition,52bea75fd146716b8962876dba3664434dbb7bd031194ae5404a39cb2c8f8563,"{""distance"":7,""physical_error_rate"":0.0002}","{""detection_events"":223294002,""detectors_checked"":285566642100,""obs_mistake_mask=E"":64030}"
   2488893,     66136,         0,   276.5,partition,c8a76fe8b2bddfed922c828a380b6ff3cf3b09a051ee156bb0559979e42d6367,"{""distance"":7,""physical_error_rate"":0.02}","{""detection_events"":141145793,""detectors_checked"":2016003330,""obs_mistake_mask=E"":66136}"
