     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
1000000000,         0,         0, 35458.0,standalone_exact_mw,439ae797102972e25496467e883a128868227a79b585fd3075d4e13912a64ea0,"{""distance"":7,""physical_error_rate"":0.0005}","{""detection_events"":1580558680,""detectors_checked"":810000000000}"
 996753602,      4669,         0,103794.1,standalone_exact_mw,70224d6e88455b749a7a57fa9c7da0af1350c86612b99376a778a46df4d37c97,"{""distance"":7,""physical_error_rate"":0.005}","{""detection_events"":15342728163,""detectors_checked"":807370417620,""obs_mistake_mask=E"":4669}"
    101853,      5540,         0,    25.9,standalone_exact_mw,e16ed86ff5683e3693c993b00120904e8b227888fbcf98d6b3030ae09321c1b0,"{""distance"":7,""physical_error_rate"":0.05}","{""detection_events"":12524861,""detectors_checked"":82500930,""obs_mistake_mask=E"":5540}"
1000000000,       120,         0, 67830.6,standalone_exact_mw,5b62df7070260720643fa47095c6fb0c1d27112991aa7720332e86263c1cede1,"{""distance"":7,""physical_error_rate"":0.002}","{""detection_events"":6266250251,""detectors_checked"":810000000000,""obs_mistake_mask=E"":120}"
1000000000,         0,         0, 26357.9,standalone_exact_mw,07afe257389406bcd0a11b7c3f186b624f9e00228d4a3611a2edff71e010d036,"{""distance"":7,""physical_error_rate"":0.0002}","{""detection_events"":633391061,""detectors_checked"":810000000000}"
1000000000,         8,         0, 48511.5,standalone_exact_mw,2f6729e2263986532fc2521821a0896d2a9019c61a03021faf0ba66b02b9225c,"{""distance"":7,""physical_error_rate"":0.001}","{""detection_events"":3151652328,""detectors_checked"":810000000000,""obs_mistake_mask=E"":8}"
     14267,      7083,         0,    13.1,standalone_exact_mw,9ac240f7f2d5ed1275c80af708f35c0dcdf552b5fe10b76cdcf50df29d7c2917,"{""distance"":7,""physical_error_rate"":0.5}","{""detection_events"":5479855,""detectors_checked"":11556270,""obs_mistake_mask=E"":7083}"
     18124,      7199,         0,    9.34,standalone_exact_mw,85097152267b7c9821c1155fbd6f1541f18fad18a7b428ea38408f2e2af9a676,"{""distance"":7,""physical_error_rate"":0.1}","{""detection_events"":3674555,""detectors_checked"":14680440,""obs_mistake_mask=E"":7199}"
     14779,      7365,         0,    10.9,standalone_exact_mw,e618534e6ec4f73b7a0db851e2cc5afa9af01916ba5674000d8051cc9bc826d8,"{""distance"":7,""physical_error_rate"":0.2}","{""detection_events"":4417306,""detectors_checked"":11970990,""obs_mistake_mask=E"":7365}"
  74906948,      5891,         0, 11620.7,standalone_exact_mw,f5a05dc3c71973eb1c963d76229634757e4794e9319d410bf516ed2913684def,"{""distance"":7,""physical_error_rate"":0.01}","{""detection_events"":2241346668,""detectors_checked"":60674627880,""obs_mistake_mask=E"":5891}"
   4260456,      5734,         0,   659.1,standalone_exact_mw,39ab9fe40c39dfdd0afc879e079c53800e1c5ce1d009f7d958d756abf2b72f2e,"{""distance"":7,""physical_error_rate"":0.02}","{""detection_events"":241610285,""detectors_checked"":3450969360,""obs_mistake_mask=E"":5734}"
