     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      5393,         0,         0,   0.010,exact_mw,0e2264544a0d18875e19b6fe986b32a91d87b7abd2c3c2e1c51e80245ec91acc,"{""distance"":7,""physical_error_rate"":0.0001}",
      8192,         0,         0,   0.015,exact_mw,0e2264544a0d18875e19b6fe986b32a91d87b7abd2c3c2e1c51e80245ec91acc,"{""distance"":7,""physical_error_rate"":0.0001}",
      6417,         0,         0,   0.011,exact_mw,a944ed8408520994e89ee6023690a2eea545d25f7ab9a1856ff1700f8058ca93,"{""distance"":7,""physical_error_rate"":5e-05}",
      5393,         0,         0,   0.012,exact_mw,bea9a7d749fd7c838ccf5f3106329a120270ba9a702d5080a6e3f1d3e97c0c9a,"{""distance"":7,""physical_error_rate"":0.0002}",
     11264,         0,         0,   0.021,exact_mw,0e2264544a0d18875e19b6fe986b32a91d87b7abd2c3c2e1c51e80245ec91acc,"{""distance"":7,""physical_error_rate"":0.0001}",
      7168,         0,         0,   0.014,exact_mw,bea9a7d749fd7c838ccf5f3106329a120270ba9a702d5080a6e3f1d3e97c0c9a,"{""distance"":7,""physical_error_rate"":0.0002}",
      9216,         0,         0,   0.015,exact_mw,a944ed8408520994e89ee6023690a2eea545d25f7ab9a1856ff1700f8058ca93,"{""distance"":7,""physical_error_rate"":5e-05}",
     12288,         0,         0,   0.020,exact_mw,a944ed8408520994e89ee6023690a2eea545d25f7ab9a1856ff1700f8058ca93,"{""distance"":7,""physical_error_rate"":5e-05}",
     11264,         0,         0,   0.020,exact_mw,bea9a7d749fd7c838ccf5f3106329a120270ba9a702d5080a6e3f1d3e97c0c9a,"{""distance"":7,""physical_error_rate"":0.0002}",
     16384,         0,         0,   0.029,exact_mw,0e2264544a0d18875e19b6fe986b32a91d87b7abd2c3c2e1c51e80245ec91acc,"{""distance"":7,""physical_error_rate"":0.0001}",
     14336,         0,         0,   0.028,exact_mw,a944ed8408520994e89ee6023690a2eea545d25f7ab9a1856ff1700f8058ca93,"{""distance"":7,""physical_error_rate"":5e-05}",
     13312,         0,         0,   0.029,exact_mw,bea9a7d749fd7c838ccf5f3106329a120270ba9a702d5080a6e3f1d3e97c0c9a,"{""distance"":7,""physical_error_rate"":0.0002}",
     20480,         0,         0,   0.039,exact_mw,0e2264544a0d18875e19b6fe986b32a91d87b7abd2c3c2e1c51e80245ec91acc,"{""distance"":7,""physical_error_rate"":0.0001}",
     21504,         0,         0,   0.040,exact_mw,a944ed8408520994e89ee6023690a2eea545d25f7ab9a1856ff1700f8058ca93,"{""distance"":7,""physical_error_rate"":5e-05}",
     17408,         0,         0,   0.040,exact_mw,bea9a7d749fd7c838ccf5f3106329a120270ba9a702d5080a6e3f1d3e97c0c9a,"{""distance"":7,""physical_error_rate"":0.0002}",
     25600,         0,         0,   0.055,exact_mw,0e2264544a0d18875e19b6fe986b32a91d87b7abd2c3c2e1c51e80245ec91acc,"{""distance"":7,""physical_error_rate"":0.0001}",
     24576,         0,         0,   0.054,exact_mw,a944ed8408520994e89ee6023690a2eea545d25f7ab9a1856ff1700f8058ca93,"{""distance"":7,""physical_error_rate"":5e-05}",
     21504,         0,         0,   0.054,exact_mw,bea9a7d749fd7c838ccf5f3106329a120270ba9a702d5080a6e3f1d3e97c0c9a,"{""distance"":7,""physical_error_rate"":0.0002}",
